query_country_code,venue_id,venue_key,venue_name,venue_url,venue_image_url,postal_code,city,admin_area,admin_area_code,country,country_code,address_line_1,address_line_2,latitude,longitude,parking_detail,accessible_seating_detail,box_office_phone,box_office_hours,accepted_payment_detail,will_call_detail,general_rule,child_rule,venue_upcoming_events
MX,KovZpZA7AJvA,MX|KovZpZA7AJvA,Palacio de Bellas Artes,https://www.ticketmaster.com.mx/palacio-de-bellas-artes-tickets-mexico-cdmx/venue/499716,https://s1.ticketm.net/dbimages/21990v.jpg,06050,México CDMX,Ciudad de México,CDMX,Mexico,MX,"Av Juárez, Centro Histórico, Centro",Del. Cuauhtémoc,19.43663020,-99.14353180,El recinto no cuenta con estacionamiento. El estacionamiento público más cercano se ubica en el subterráneo de la Plaza Bellas Artes. Consulte horarios y tarifas en el teléfono: (52)(55) 5510 0039,Anticipe su compra al (55) 8647 6500 Ext. 2160 C.E. comercializacionyboletajegpba@inba.gob.mx El Palacio de Bellas Artes cuenta con asientos destinados para personas con discapacidad. La venta de estas localidades es reservada: una para la persona con la discapacidad y otra para su acompanante. Al realizar su compra indique al taquillero su requerimiento para que verifique la disponibilidad.,,"La taquilla se ubica en el vestíbulo bajo. De martes a domingo de 11:00 a 18:00 horas, o hasta iniciar la función programada habiendo boletos disponibles. Consulte cartelera y precios en el sitio web: www.palacio.bellasartes.gob.mx Tel. 55 8647 6500 Ext. 2160","Efectivo, tarjetas nacionales de crédito y débito",No hay entrega del Will Call. Se sugiere recoger los boletos en Centros Ticketmaster,"Iniciado el evento, sólo se permite el acceso a la sala durante el intermedio. Para ingresar a la sala, toda persona debe presentar su boleto. No se permite el ingreso de bebidas o alimentos a la sala Se requiere autorización expresa para el uso de cámaras fotográficas, de video o dispositivos móviles dentro de la sala.",La edad mínima varía en cada evento. Verifique la información.,43
MX,KovZ917AmP3,MX|KovZ917AmP3,Alboa Metepec,https://www.ticketmaster.com.mx/alboa-metepec-tickets-san-francisco-coaxusco/venue/501674,,52177,San Francisco Coaxusco,Estado de México,MEX,Mexico,MX,MANZANA 004,RESIDENCIAL LA PROVIDENCIA,19.26793220,-99.60487250,,,,,,,,,1
MX,KovZ917AEuQ,MX|KovZ917AEuQ,Sala Pepsi Black,https://www.ticketmaster.com.mx/sala-pepsi-black-tickets-ciudad-de-mexico/venue/501600,https://s1.ticketm.net/dbimages/26138v.jpg,03810,Ciudad de México,Ciudad de México,CDMX,Mexico,MX,"Dakota s/n, Nápoles, 03810 Ciudad de México, ",Benito Juárez,19.39483880,-99.17475050,,,,,,,,,1
MX,KovZ917AO0z,MX|KovZ917AO0z,Alboa Mundo E,https://www.ticketmaster.com.mx/alboa-mundo-e-tickets-tlalnepantla-de-baz/venue/165664,,54050,Tlalnepantla de Baz,Estado de México,MEX,Mexico,MX,Hab. Jardines de Santa Monica,,,,,,,,,,,,1
MX,KovZpZAEvekA,MX|KovZpZAEvekA,Sala Silvestre Revueltas,https://www.ticketmaster.com.mx/sala-silvestre-revueltas-tickets-mexico/venue/500903,,14030,México,Ciudad de México,CDMX,Mexico,MX,Periférico Sur #5141 Col. Isidro Fabela,Del. Tlalpan,19.30254940,-99.17327880,,,,,,,,,31
MX,KovZpZA6JnlA,MX|KovZpZA6JnlA,Teatro De Degollado (GDL),https://www.ticketmaster.com.mx/teatro-de-degollado-gdl-tickets-guadalajara/venue/163939,,44630,Guadalajara,Jalisco,JAL,Mexico,MX,"Belén s/n, Zona Centro",,20.677006,-103.344429,no cuenta con estacionamiento usar aledaño,si cuenta lugares para discapacitados,(33) 3613-1115 / 3614-4773,de lunes a viernes de 10:00am a 8:00pm,"tarjetas de credito, debito y efectivo",Will call: dia del evento hasta 45 minutos depues de iniciado el evento,,"Entran mayores de 4 años pagan boleto, menores no entran.",5
MX,KovZpZA6IFJA,MX|KovZpZA6IFJA,Teatro Galerías,https://www.ticketmaster.com.mx/teatro-galerias-tickets-zapopan/venue/500666,https://s1.ticketm.net/dbimages/21955v.jpg,45050,Zapopan,Jalisco,JAL,Mexico,MX,Av. Lapizlázuli #3445,Residencial Victoria,20.64614400,-103.40480900,,,,,,,,,8
MX,KovZ917AVOP,MX|KovZ917AVOP,Foro Teambro,https://www.ticketmaster.com.mx/foro-teambro-tickets-ciudad-de-mexico/venue/501726,,15900,Ciudad de México,Ciudad de México,CDMX,Mexico,MX,"Col. Jardín Balbuena, Alc. Venustiano Carranza",,19.40984000,-99.10364500,,,,,,,,,1
MX,KovZpZAJFtFA,MX|KovZpZAJFtFA,Jardines de México,https://www.ticketmaster.com.mx/jardines-de-mexico-tickets-tehuixtla/venue/165250,,62900,Tehuixtla,Morelos,MOR,Mexico,MX,Autopista México – Acapulco Km 129,,18.607629,-99.291045,,,,,,,,,4
MX,KovZpZAJnd1A,MX|KovZpZAJnd1A,Expo Santa Fe,https://www.ticketmaster.com.mx/expo-santa-fe-tickets-mexico/venue/164588,,01210,México,Ciudad de México,CDMX,Mexico,MX,Av. Santa Fe #270. Colonia Santa Fe,Del. Álvaro Obregón,19.36337191,-99.26287561,,,,,,,,,2
PE,Z5IMVHtnMZavA,PE|Z5IMVHtnMZavA,Arena 1,https://www.ticketmaster.pe/venue/arena-1,,15087,,,LIMA,,PE,,,-12.0888056,-77.0924289,,,,,,,,,2
PE,Z5IMVHtnMZF1A,PE|Z5IMVHtnMZF1A,Estadio Nacional del Peru,https://www.ticketmaster.pe/venue/estadio-nacional-del-peru,,15046,Lima,Lima,LIM,Peru,PE,Calle José Díaz s/n,,-12.06728990702073,-77.03372900462884,,,,,,,,,3
PE,Z5IMVHtnMZFF1,PE|Z5IMVHtnMZFF1,Estadio San Marcos,https://www.ticketmaster.pe/venue/estadio-san-marcos,,15081,,,LIM,,PE,,,-12.0550642,-77.0823504,,,,,,,,,6
PE,ZGIMVHtnMZdd71,PE|ZGIMVHtnMZdd71,Arena 1 Park,arena-1-park,,15087,,,LIM,,PE,,,-12.091280015549843,-77.08756916655653,,,,,,,,,6
PE,ZGIMVHtnMZed1k,PE|ZGIMVHtnMZed1k,Parque de la Exposicion,pque-exposicion,,15046,,,LIM,,PE,,,-12.06310452558831,-77.03585934385526,,,,,,,,,1
PE,ZGIMVHtnMZdd11,PE|ZGIMVHtnMZdd11,Fundo Cemayu - Oxapampa,cemayu-oxapampa,,19231,,,PAS,,PE,,,-10.5780691,-75.40304510000001,,,,,,,,,1
PE,ZGIMVHtnMZd7ke,PE|ZGIMVHtnMZd7ke,Explanada Parque de la Exposición,explanada-pque-exposicion,,15046,,,LIM,,PE,,,-12.062327723007664,-77.0365271338379,,,,,,,,,1
PE,Z5IMVHtnMZavF,PE|Z5IMVHtnMZavF,Anfiteatro del Parque de la Exposición,https://www.ticketmaster.pe/page/recintos,,15046,Lima,Lima,LIM,Peru,PE,"Av. 28 de Julio, Lima s/n",,-12.06296373863408,-77.0361599291748,,,,,,,,,2
PE,Z5IMVHtnMZ1F7,PE|Z5IMVHtnMZ1F7,Centro de Convenciones Barranco,centro-de-convenciones-barranco,,15074,,,LIM,,PE,,,-12.140243133307788,-77.01759936074791,,,,,,,,,2
PE,ZGIMVHtnMZd7ak,PE|ZGIMVHtnMZd7ak,Cocodrilo Verde,cocodrilo-verde,,15074,,,LIM,,PE,,,-12.1206216,-77.0322187,,,,,,,,,1
PE,Z5IMVHtnMZad7,PE|Z5IMVHtnMZad7,,https://www.ticketmaster.pe/venue/centro-de-convenciones-teatro-leguia,,15046,,,LIM,,PE,,,-12.072996373068609,-77.03645777146977,,,,,,,,,2
